# start_epoch_ms=1772061288293 srk_root=/home/ryan/aerial-dgx-spark/experiments/srk/oai-cpu python=/home/ryan/aerial-dgx-spark/experiments/srk/oai-cpu/venv/bin/python
ts_epoch_ms	stream	line
1772061288332	zmq_stats_client	2026-02-25 18:14:48,332 - INFO - Connected to UE stats publisher at tcp://127.0.0.1:5555
1772061288332	zmq_stats_client	2026-02-25 18:14:48,332 - INFO - Subscribed to 'ue_stats' topic
1772061288332	zmq_stats_client	2026-02-25 18:14:48,332 - INFO - Starting UE stats subscriber...
1772061288332	zmq_stats_client	2026-02-25 18:14:48,332 - INFO - Waiting for UE stats data (max_messages: unlimited)
1772061288332	zmq_stats_client	2026-02-25 18:14:48,332 - INFO - Press Ctrl+C to stop
1772061288532	zmq_stats_client	2026-02-25 18:14:48,532 - INFO - Received UE stats #1: 1 UEs at timestamp 1772061288399
1772061288532	zmq_stats_client	
1772061288532	zmq_stats_client	--- UE Stats #1 (TS: 1772061288399) ---
1772061288532	zmq_stats_client	UE 0, RNTI 53756 (0xd1fc): MCS ↑2/↓1, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓0, PRBs(max) ↑0/↓29, PRBs(delta) ↑0/↓70, PRBs(cum) ↑3772/↓738
1772061288532	zmq_stats_client	---
1772061289033	zmq_stats_client	2026-02-25 18:14:49,033 - INFO - Received UE stats #2: 1 UEs at timestamp 1772061288900
1772061289033	zmq_stats_client	
1772061289033	zmq_stats_client	--- UE Stats #2 (TS: 1772061288900) ---
1772061289033	zmq_stats_client	UE 0, RNTI 53756 (0xd1fc): MCS ↑15/↓14, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓0, PRBs(max) ↑0/↓15, PRBs(delta) ↑0/↓1285, PRBs(cum) ↑133867/↓4818
1772061289033	zmq_stats_client	---
1772061289534	zmq_stats_client	2026-02-25 18:14:49,534 - INFO - Received UE stats #3: 1 UEs at timestamp 1772061289399
1772061289534	zmq_stats_client	
1772061289534	zmq_stats_client	--- UE Stats #3 (TS: 1772061289399) ---
1772061289534	zmq_stats_client	UE 0, RNTI 53756 (0xd1fc): MCS ↑25/↓24, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓5, PRBs(max) ↑0/↓10, PRBs(delta) ↑0/↓1699, PRBs(cum) ↑244225/↓8824
1772061289534	zmq_stats_client	---
1772061290035	zmq_stats_client	2026-02-25 18:14:50,035 - INFO - Received UE stats #4: 1 UEs at timestamp 1772061289899
1772061290035	zmq_stats_client	
1772061290035	zmq_stats_client	--- UE Stats #4 (TS: 1772061289899) ---
1772061290035	zmq_stats_client	UE 0, RNTI 53756 (0xd1fc): MCS ↑28/↓28, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓0, PRBs(max) ↑0/↓7, PRBs(delta) ↑0/↓1702, PRBs(cum) ↑341405/↓12513
1772061290035	zmq_stats_client	---
1772061290536	zmq_stats_client	2026-02-25 18:14:50,536 - INFO - Received UE stats #5: 1 UEs at timestamp 1772061290399
1772061290536	zmq_stats_client	
1772061290536	zmq_stats_client	--- UE Stats #5 (TS: 1772061290399) ---
1772061290536	zmq_stats_client	UE 0, RNTI 53756 (0xd1fc): MCS ↑28/↓28, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓5, PRBs(max) ↑0/↓7, PRBs(delta) ↑0/↓1656, PRBs(cum) ↑438267/↓16107
1772061290536	zmq_stats_client	---
1772061291037	zmq_stats_client	2026-02-25 18:14:51,037 - INFO - Received UE stats #6: 1 UEs at timestamp 1772061290899
1772061291037	zmq_stats_client	
1772061291037	zmq_stats_client	--- UE Stats #6 (TS: 1772061290899) ---
1772061291037	zmq_stats_client	UE 0, RNTI 53756 (0xd1fc): MCS ↑28/↓28, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓5, PRBs(max) ↑0/↓6, PRBs(delta) ↑0/↓1728, PRBs(cum) ↑534493/↓19878
1772061291037	zmq_stats_client	---
1772061291538	zmq_stats_client	2026-02-25 18:14:51,538 - INFO - Received UE stats #7: 1 UEs at timestamp 1772061291399
1772061291538	zmq_stats_client	
1772061291538	zmq_stats_client	--- UE Stats #7 (TS: 1772061291399) ---
1772061291538	zmq_stats_client	UE 0, RNTI 53756 (0xd1fc): MCS ↑28/↓28, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓5, PRBs(max) ↑0/↓7, PRBs(delta) ↑0/↓1682, PRBs(cum) ↑630731/↓23529
1772061291538	zmq_stats_client	---
1772061292039	zmq_stats_client	2026-02-25 18:14:52,039 - INFO - Received UE stats #8: 1 UEs at timestamp 1772061291899
1772061292039	zmq_stats_client	
1772061292039	zmq_stats_client	--- UE Stats #8 (TS: 1772061291899) ---
1772061292039	zmq_stats_client	UE 0, RNTI 53756 (0xd1fc): MCS ↑28/↓28, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓5, PRBs(max) ↑0/↓8, PRBs(delta) ↑0/↓1608, PRBs(cum) ↑727063/↓27140
1772061292039	zmq_stats_client	---
1772061292540	zmq_stats_client	2026-02-25 18:14:52,540 - INFO - Received UE stats #9: 1 UEs at timestamp 1772061292399
1772061292540	zmq_stats_client	
1772061292540	zmq_stats_client	--- UE Stats #9 (TS: 1772061292399) ---
1772061292540	zmq_stats_client	UE 0, RNTI 53756 (0xd1fc): MCS ↑28/↓28, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓0, PRBs(max) ↑0/↓5, PRBs(delta) ↑0/↓1615, PRBs(cum) ↑823713/↓30565
1772061292540	zmq_stats_client	---
1772061293041	zmq_stats_client	2026-02-25 18:14:53,041 - INFO - Received UE stats #10: 1 UEs at timestamp 1772061292899
1772061293041	zmq_stats_client	
1772061293041	zmq_stats_client	--- UE Stats #10 (TS: 1772061292899) ---
