# start_epoch_ms=1771540200385 srk_root=/home/ryan/aerial-dgx-spark/experiments/srk/oai-cpu python=/home/ryan/aerial-dgx-spark/experiments/srk/oai-cpu/venv/bin/python
ts_epoch_ms	stream	line
1771540200418	zmq_stats_client	2026-02-19 17:30:00,418 - INFO - Connected to UE stats publisher at tcp://127.0.0.1:5555
1771540200418	zmq_stats_client	2026-02-19 17:30:00,418 - INFO - Subscribed to 'ue_stats' topic
1771540200418	zmq_stats_client	2026-02-19 17:30:00,418 - INFO - Starting UE stats subscriber...
1771540200418	zmq_stats_client	2026-02-19 17:30:00,418 - INFO - Waiting for UE stats data (max_messages: unlimited)
1771540200418	zmq_stats_client	2026-02-19 17:30:00,418 - INFO - Press Ctrl+C to stop
1771540200519	zmq_stats_client	2026-02-19 17:30:00,519 - INFO - Received UE stats #1: 3 UEs at timestamp 1771540200163
1771540200519	zmq_stats_client	
1771540200519	zmq_stats_client	--- UE Stats #1 (TS: 1771540200163) ---
1771540200519	zmq_stats_client	UE 0, RNTI 20726 (0x50f6): MCS ↑0/↓0, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓0, PRBs(max) ↑0/↓0, PRBs(delta) ↑0/↓0, PRBs(cum) ↑5794/↓724
1771540200519	zmq_stats_client	UE 1, RNTI 11211 (0x2bcb): MCS ↑0/↓0, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓0, PRBs(max) ↑0/↓0, PRBs(delta) ↑0/↓0, PRBs(cum) ↑4566/↓557
1771540200519	zmq_stats_client	UE 2, RNTI 30768 (0x7830): MCS ↑0/↓0, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓0, PRBs(max) ↑0/↓0, PRBs(delta) ↑0/↓0, PRBs(cum) ↑3800/↓473
1771540200519	zmq_stats_client	---
1771540201020	zmq_stats_client	2026-02-19 17:30:01,020 - INFO - Received UE stats #2: 3 UEs at timestamp 1771540200663
1771540201020	zmq_stats_client	
1771540201020	zmq_stats_client	--- UE Stats #2 (TS: 1771540200663) ---
1771540201020	zmq_stats_client	UE 0, RNTI 20726 (0x50f6): MCS ↑3/↓2, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓0, PRBs(max) ↑0/↓33, PRBs(delta) ↑0/↓277, PRBs(cum) ↑9016/↓1073
1771540201020	zmq_stats_client	UE 1, RNTI 11211 (0x2bcb): MCS ↑2/↓2, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓0, PRBs(max) ↑0/↓33, PRBs(delta) ↑0/↓228, PRBs(cum) ↑7709/↓866
1771540201020	zmq_stats_client	UE 2, RNTI 30768 (0x7830): MCS ↑2/↓2, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓0, PRBs(max) ↑0/↓31, PRBs(delta) ↑0/↓177, PRBs(cum) ↑6758/↓776
1771540201020	zmq_stats_client	---
1771540201521	zmq_stats_client	2026-02-19 17:30:01,520 - INFO - Received UE stats #3: 3 UEs at timestamp 1771540201163
1771540201521	zmq_stats_client	
1771540201521	zmq_stats_client	--- UE Stats #3 (TS: 1771540201163) ---
1771540201521	zmq_stats_client	UE 0, RNTI 20726 (0x50f6): MCS ↑8/↓7, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓0, PRBs(max) ↑0/↓16, PRBs(delta) ↑0/↓950, PRBs(cum) ↑27364/↓1855
1771540201521	zmq_stats_client	UE 1, RNTI 11211 (0x2bcb): MCS ↑8/↓7, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓0, PRBs(max) ↑0/↓16, PRBs(delta) ↑0/↓853, PRBs(cum) ↑26457/↓1659
1771540201521	zmq_stats_client	UE 2, RNTI 30768 (0x7830): MCS ↑7/↓7, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓6, PRBs(max) ↑0/↓12, PRBs(delta) ↑0/↓670, PRBs(cum) ↑25000/↓1442
1771540201521	zmq_stats_client	---
1771540202122	zmq_stats_client	2026-02-19 17:30:02,122 - INFO - Received UE stats #4: 3 UEs at timestamp 1771540201663
1771540202122	zmq_stats_client	
1771540202122	zmq_stats_client	--- UE Stats #4 (TS: 1771540201663) ---
1771540202122	zmq_stats_client	UE 0, RNTI 20726 (0x50f6): MCS ↑13/↓12, BLER ↑0.000/↓0.000, PRBs(inst) ↑0/↓0, PRBs(max) ↑0/↓7, PRBs(delta) ↑0/↓641, PRBs(cum) ↑46006/↓2482
